state_fips,name,rate_raw,ci_lo,ci_hi,count_raw,trend,rate,avg_annual_count,status,title,site,site_code
34000,New Jersey,48.7,48.1,49.2,5813,falling,48.7,5813,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
53000,Washington,47.8,47.2,48.4,4483,falling,47.8,4483,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
41000,Oregon,46.9,46.1,47.7,2697,falling,46.9,2697,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
48000,Texas,45.2,44.9,45.6,13606,falling,45.2,13606,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
30000,Montana,45.2,43.6,46.7,711,falling,45.2,711,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
11001,District of Columbia,44.4,42.1,46.7,298,falling,44.4,298,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
16000,Idaho,43.7,42.4,44.9,995,falling,43.7,995,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
32000,Nevada,43.4,42.4,44.4,1669,falling,43.4,1669,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
04000,Arizona,40.8,40.2,41.4,4020,falling,40.8,4020,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
56000,Wyoming,38.1,36.1,40.2,292,falling,38.1,292,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
15000,Hawaii,38,36.8,39.2,792,falling,38.0,792,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
08000,Colorado,37,36.4,37.7,2421,falling,37.0,2421,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
06000,California,36.3,36.0,36.5,16420,falling,36.3,16420,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
35000,New Mexico,31.8,30.9,32.8,920,falling,31.8,920,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
49000,Utah,25,24.1,25.8,733,falling,25.0,733,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
72001,Puerto Rico,14.6,14.1,15.0,760,falling,14.6,760,ok,"Lung & Bronchus (All Stages^), 2018-2022",lung,047
22000,Louisiana,147.2,145.1,149.3,4158,rising,147.2,4158,ok,"Prostate (All Stages^), 2018-2022",prostate,066
34000,New Jersey,144.6,143.2,146.0,8385,stable,144.6,8385,ok,"Prostate (All Stages^), 2018-2022",prostate,066
24000,Maryland,142.1,140.4,143.9,5333,rising,142.1,5333,ok,"Prostate (All Stages^), 2018-2022",prostate,066
13000,Georgia,141.6,140.2,143.0,8501,rising,141.6,8501,ok,"Prostate (All Stages^), 2018-2022",prostate,066
72001,Puerto Rico,141.2,139.0,143.4,3281,falling,141.2,3281,ok,"Prostate (All Stages^), 2018-2022",prostate,066
28000,Mississippi,139,136.5,141.5,2528,stable,139.0,2528,ok,"Prostate (All Stages^), 2018-2022",prostate,066
09000,Connecticut,136.7,134.6,138.8,3300,rising,136.7,3300,ok,"Prostate (All Stages^), 2018-2022",prostate,066
10000,Delaware,136.3,132.4,140.3,972,rising,136.3,972,ok,"Prostate (All Stages^), 2018-2022",prostate,066
