nct_id,cancer_type,cancer_type_label,multi_subtype,categories_matched,generic_listed,source
NCT06719362,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT05301283,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT07098988,lung,Lung & thoracic,,lung,1,conditions
NCT02203903,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT06029270,head_neck,Head & neck,,head_neck,0,conditions
NCT07347418,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT05546723,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT07311746,leukemia,Leukemia,,leukemia,0,conditions
NCT07222488,bladder_urothelial,Bladder & urothelial,,bladder_urothelial,0,conditions
NCT06772623,lung,Lung & thoracic,,lung,0,conditions
NCT05296070,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT05233397,multi,Multiple cancer types / basket or umbrella,multiple named cancers,brain_cns;head_neck,0,conditions
NCT07195682,kidney,Kidney,,kidney,0,conditions
NCT07052916,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma;myeloma,1,conditions
NCT06672185,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT01473784,head_neck,Head & neck,,head_neck,0,conditions
NCT07164443,prostate,Prostate,,prostate,0,conditions
NCT05672108,multi,Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;lung;sarcoma,1,conditions
NCT06629584,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07519655,multi,Multiple cancer types / basket or umbrella,multiple named cancers,gastric_esophageal;lung;melanoma_skin,0,conditions
NCT06265285,multi,Multiple cancer types / basket or umbrella,multiple named cancers,bladder_urothelial;colorectal;gastric_esophageal;head_neck;kidney;liver_biliary;lung;melanoma_skin,1,conditions
NCT05583708,melanoma_skin,Melanoma & skin,,melanoma_skin,0,conditions
NCT07071155,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT06818643,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT02174549,multi,Multiple cancer types / basket or umbrella,multiple named cancers,liver_biliary;neuroendocrine_endocrine,1,conditions
NCT07115043,multi,Multiple cancer types / basket or umbrella,multiple named cancers,breast;gastric_esophageal;gynecologic;head_neck;kidney;lung;melanoma_skin,0,conditions
NCT05271240,brain_cns,Brain & CNS,,brain_cns,1,conditions
NCT07198074,gynecologic,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,0,conditions
NCT06511882,leukemia,Leukemia,,leukemia,0,conditions
NCT07112196,other_unclassified,Other / unclassified,,,0,none
NCT05317403,leukemia,Leukemia,,leukemia,0,conditions
NCT07156227,multi,Multiple cancer types / basket or umbrella,multiple named cancers,head_neck;melanoma_skin,0,conditions
NCT04616560,multi,Multiple cancer types / basket or umbrella,multiple named cancers,kidney;sarcoma,0,conditions
NCT06001788,leukemia,Leukemia,,leukemia,1,conditions
NCT07185997,lung,Lung & thoracic,,lung,0,conditions
NCT07215091,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT04322318,kidney,Kidney,,kidney,0,conditions
NCT07242118,breast,Breast,,breast,0,conditions
NCT07291297,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT07094113,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06824818,prostate,Prostate,,prostate,0,conditions
NCT04684368,multi,Multiple cancer types / basket or umbrella,title names additional cancers,brain_cns;other_named,1,conditions+title
NCT07581184,prostate,Prostate,,prostate,0,conditions
NCT06615752,prostate,Prostate,,prostate,0,conditions
NCT06784752,neuroendocrine_endocrine,Neuroendocrine & endocrine,,neuroendocrine_endocrine,0,conditions
NCT06692738,lung,Lung & thoracic,,lung,0,conditions
NCT06892678,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT03286335,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT05419089,head_neck,Head & neck,,head_neck,0,conditions
NCT07579195,bladder_urothelial,Bladder & urothelial,,bladder_urothelial,0,conditions
